"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Received","28/02/2026","Papua New Guinea","7","9","12","*","0","10","7","9","8","0"
"short term visa applications","Received","28/02/2026","Peru","534","524","605","108","40","321","450","503","493","73"
"short term visa applications","Received","28/02/2026","Philippines (the)","3621","3886","4201","852","477","2740","3413","3735","3971","639"
"short term visa applications","Received","28/02/2026","Pitcairn","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Puerto Rico","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Qatar","48","67","78","11","80","71","67","102","81","23"
"short term visa applications","Received","28/02/2026","Réunion","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Russian Federation (the)","13414","13989","17707","3046","1152","3164","3279","3515","4469","713"
"short term visa applications","Received","28/02/2026","Rwanda","66","72","49","10","8","60","69","67","99","6"
"short term visa applications","Received","28/02/2026","Saint Barthélemy","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Saint Martin (French part)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Sao Tome and Principe","0","7","0","0","*","*","*","*","*","0"
"short term visa applications","Received","28/02/2026","Saudi Arabia","2990","2817","2442","312","359","1209","1100","1514","1744","181"
"short term visa applications","Received","28/02/2026","Senegal","73","74","117","20","8","66","73","186","197","32"
"short term visa applications","Received","28/02/2026","Serbia","1460","1309","1406","309","323","1016","1315","1231","1065","158"
"short term visa applications","Received","28/02/2026","Sierra Leone","104","127","127","32","16","203","166","168","208","24"
"short term visa applications","Received","28/02/2026","Sint Maarten (Dutch part)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Somalia","35","70","87","41","34","128","201","304","499","166"
"short term visa applications","Received","28/02/2026","South Africa","7","0","*","*","178","0","0","6020","11227","1394"
"short term visa applications","Received","28/02/2026","South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","South Sudan","0","13","10","0","*","8","19","11","17","0"
"short term visa applications","Received","28/02/2026","Sri Lanka","763","717","886","184","101","569","749","1019","1044","157"
"short term visa applications","Received","28/02/2026","Sudan (the)","1236","1539","1590","230","334","1410","968","822","828","94"
"short term visa applications","Received","28/02/2026","Suriname","*","*","6","0","0","*","*","*","*","0"
"short term visa applications","Received","28/02/2026","Svalbard and Jan Mayen","0","0","0","0","0","0","0","0","0","0"
