"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"long term visa applications","Refused","28/02/2026","Anguilla","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Antarctica","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Armenia","*","*","*","0","0","*","*","*","*","*"
"long term visa applications","Refused","28/02/2026","Aruba","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Azerbaijan","*","*","8","*","*","0","14","13","9","*"
"long term visa applications","Refused","28/02/2026","Bahrain","*","*","*","*","*","*","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Bangladesh","63","112","88","51","61","120","131","344","452","57"
"long term visa applications","Refused","28/02/2026","Belarus","*","7","9","6","*","8","9","*","*","*"
"long term visa applications","Refused","28/02/2026","Benin","0","*","*","0","*","*","*","0","14","*"
"long term visa applications","Refused","28/02/2026","Bermuda","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Bhutan","0","0","0","0","*","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Bolivia (Plurinational State of)","0","0","0","0","0","0","8","155","96","*"
"long term visa applications","Refused","28/02/2026","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Bosnia and Herzegovina","10","6","8","*","7","7","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Botswana","0","0","0","0","0","0","0","*","66","*"
"long term visa applications","Refused","28/02/2026","Bouvet Island","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Burkina Faso","0","*","*","0","6","0","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Burundi","*","0","0","0","*","0","*","21","56","*"
"long term visa applications","Refused","28/02/2026","Cabo Verde","0","*","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Cambodia","0","*","0","0","*","24","20","0","*","0"
"long term visa applications","Refused","28/02/2026","Cameroon","16","35","28","16","26","27","87","23","145","14"
"long term visa applications","Refused","28/02/2026","Cayman Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Central African Republic (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Ceuta","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Chad","0","*","0","0","0","0","0","0","*","*"
"long term visa applications","Refused","28/02/2026","China","112","273","251","259","138","145","339","298","558","132"
"long term visa applications","Refused","28/02/2026","Christmas Island","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Cocos (Keeling) Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Colombia","54","82","78","21","27","183","90","60","389","16"
"long term visa applications","Refused","28/02/2026","Comoros (the)","0","0","0","0","0","0","0","*","0","*"
"long term visa applications","Refused","28/02/2026","Congo (the Democratic Republic of the)","16","13","18","6","22","12","28","27","52","8"
"long term visa applications","Refused","28/02/2026","Congo (the)","*","*","6","*","*","0","*","9","8","*"
"long term visa applications","Refused","28/02/2026","Cook Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Côte d'Ivoire","7","10","*","*","*","6","9","16","15","*"
"long term visa applications","Refused","28/02/2026","Cuba","*","7","6","*","0","7","*","*","*","*"
"long term visa applications","Refused","28/02/2026","Curaçao","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Djibouti","*","0","*","0","0","0","0","0","*","*"
"long term visa applications","Refused","28/02/2026","Dominica","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Dominican Republic (the)","*","*","*","*","*","0","*","6","*","*"
"long term visa applications","Refused","28/02/2026","Ecuador","*","8","16","*","*","40","18","29","79","*"
"long term visa applications","Refused","28/02/2026","Egypt","39","32","37","44","36","65","84","40","32","8"
"long term visa applications","Refused","28/02/2026","Equatorial Guinea","0","*","0","0","0","0","*","0","*","0"
"long term visa applications","Refused","28/02/2026","Eritrea","0","*","0","*","*","6","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Eswatini","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Ethiopia","11","11","14","7","13","18","9","15","30","*"
"long term visa applications","Refused","28/02/2026","Falkland Islands (the) [Malvinas]","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Faroe Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","French Guiana","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","French Polynesia","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Gabon","0","*","0","0","*","*","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Gambia (the)","0","*","*","*","*","*","6","6","10","*"
"long term visa applications","Refused","28/02/2026","Georgia","20","12","12","8","6","26","23","13","24","*"
"long term visa applications","Refused","28/02/2026","Ghana","37","47","53","56","97","53","110","153","87","16"
"long term visa applications","Refused","28/02/2026","Gibraltar","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Greenland","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Guadeloupe","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Guam","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Guernsey","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Guinea","6","*","*","*","*","7","9","*","33","*"
"long term visa applications","Refused","28/02/2026","Guinea-Bissau","0","*","*","0","*","*","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Haiti","0","0","*","*","0","*","0","*","*","0"
"long term visa applications","Refused","28/02/2026","Heard Island and McDonald Islands","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Honduras","0","0","0","0","0","0","0","10","21","*"
"long term visa applications","Refused","28/02/2026","India","856","646","479","247","408","1072","1969","2788","3421","604"
"long term visa applications","Refused","28/02/2026","Indonesia","8","19","*","*","9","*","11","15","*","*"
"long term visa applications","Refused","28/02/2026","Iran (Islamic Republic of)","23","89","32","17","37","73","77","29","104","8"
"long term visa applications","Refused","28/02/2026","Iraq","83","43","22","17","16","28","18","11","17","*"
"long term visa applications","Refused","28/02/2026","Isle of Man","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Jamaica","*","*","*","0","*","*","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Jersey","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Jordan","8","*","27","14","31","28","18","11","17","6"
"long term visa applications","Refused","28/02/2026","Kazakhstan","8","*","27","8","0","18","35","12","32","*"
"long term visa applications","Refused","28/02/2026","Kenya","18","25","9","*","30","45","52","536","203","37"
"long term visa applications","Refused","28/02/2026","Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Kosovo","*","8","11","53","56","*","10","10","*","*"
"long term visa applications","Refused","28/02/2026","Kuwait","7","*","25","26","7","6","10","7","0","0"
"long term visa applications","Refused","28/02/2026","Kyrgyzstan","6","6","8","*","0","37","31","17","20","10"
"long term visa applications","Refused","28/02/2026","Lao People's Democratic Republic (the)","0","*","0","0","0","*","0","*","*","0"
"long term visa applications","Refused","28/02/2026","Lebanon","8","*","*","*","7","*","10","*","13","0"
"long term visa applications","Refused","28/02/2026","Lesotho","0","0","0","0","0","0","0","0","18","*"
"long term visa applications","Refused","28/02/2026","Liberia","*","0","*","0","0","0","0","*","*","0"
"long term visa applications","Refused","28/02/2026","Libya","23","17","27","7","12","13","19","*","0","*"
"long term visa applications","Refused","28/02/2026","Macao","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Madagascar","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Malawi","14","18","16","14","10","12","32","18","41","*"
"long term visa applications","Refused","28/02/2026","Mali","0","0","0","0","0","0","0","9","*","0"
"long term visa applications","Refused","28/02/2026","Marshall Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Martinique","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Mauritania","0","*","0","0","0","*","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Mauritius","15","19","14","*","11","22","31","27","12","*"
"long term visa applications","Refused","28/02/2026","Mayotte","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Melilla","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Micronesia (Federated States of)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Moldova (the Republic of)","10","7","17","*","15","32","8","*","7","0"
"long term visa applications","Refused","28/02/2026","Mongolia","57","124","216","104","131","427","155","151","405","126"
"long term visa applications","Refused","28/02/2026","Montenegro","0","*","*","*","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Montserrat","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Morocco","40","29","45","27","36","47","107","166","655","17"
"long term visa applications","Refused","28/02/2026","Mozambique","*","*","*","*","*","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Myanmar","0","*","*","*","*","15","9","*","179","39"
"long term visa applications","Refused","28/02/2026","Namibia","*","*","0","0","*","0","*","*","0","0"
"long term visa applications","Refused","28/02/2026","Nauru","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Nepal","18","39","77","24","20","140","170","310","331","35"
"long term visa applications","Refused","28/02/2026","New Caledonia","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Niger (the)","*","*","0","0","0","0","0","0","*","*"
"long term visa applications","Refused","28/02/2026","Nigeria","208","366","723","585","579","594","1099","823","660","136"
"long term visa applications","Refused","28/02/2026","Niue","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Norfolk Island","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","North Macedonia","*","0","0","*","*","*","*","*","*","0"
"long term visa applications","Refused","28/02/2026","Northern Mariana Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Oman","*","7","*","*","10","6","8","*","0","0"
"long term visa applications","Refused","28/02/2026","Pakistan","705","732","561","338","386","586","1299","1996","2261","466"
"long term visa applications","Refused","28/02/2026","Palau","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Palestine, State of","6","13","12","*","8","9","24","45","29","42"
"long term visa applications","Refused","28/02/2026","Papua New Guinea","0","0","0","0","0","0","0","0","0","*"
"long term visa applications","Refused","28/02/2026","Peru","23","27","18","*","*","59","29","17","53","*"
"long term visa applications","Refused","28/02/2026","Philippines (the)","79","130","109","83","96","130","179","133","194","24"
"long term visa applications","Refused","28/02/2026","Pitcairn","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Puerto Rico","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Qatar","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Réunion","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Russian Federation (the)","35","52","77","35","26","43","52","14","49","13"
"long term visa applications","Refused","28/02/2026","Rwanda","*","0","*","0","*","*","6","10","15","6"
"long term visa applications","Refused","28/02/2026","Saint Barthélemy","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Saint Martin (French part)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Sao Tome and Principe","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Saudi Arabia","12","22","15","7","*","0","*","26","17","0"
"long term visa applications","Refused","28/02/2026","Senegal","*","*","*","*","*","*","*","7","6","*"
"long term visa applications","Refused","28/02/2026","Serbia","8","*","*","*","*","*","*","11","6","*"
"long term visa applications","Refused","28/02/2026","Sierra Leone","7","*","*","*","*","*","11","*","10","*"
"long term visa applications","Refused","28/02/2026","Sint Maarten (Dutch part)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Somalia","14","17","7","18","32","22","19","44","92","7"
"long term visa applications","Refused","28/02/2026","South Africa","0","*","*","0","12","*","0","32","293","44"
"long term visa applications","Refused","28/02/2026","South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","South Sudan","0","*","0","*","0","0","0","0","*","*"
"long term visa applications","Refused","28/02/2026","Sri Lanka","15","18","26","22","20","63","44","132","184","23"
"long term visa applications","Refused","28/02/2026","Sudan (the)","32","16","27","21","31","48","57","35","21","6"
"long term visa applications","Refused","28/02/2026","Suriname","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Svalbard and Jan Mayen","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Syrian Arab Republic (the)","26","10","19","14","15","27","37","18","13","*"
"long term visa applications","Refused","28/02/2026","Tajikistan","*","0","*","0","*","*","*","0","*","0"
"long term visa applications","Refused","28/02/2026","Tanzania, the United Republic of","*","12","7","8","*","8","8","17","47","*"
"long term visa applications","Refused","28/02/2026","Thailand","30","87","75","18","18","27","32","21","46","*"
"long term visa applications","Refused","28/02/2026","Timor-Leste","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Togo","*","*","10","*","*","11","*","12","28","8"
"long term visa applications","Refused","28/02/2026","Tokelau","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Tunisia","17","13","13","13","7","22","30","10","19","0"
"long term visa applications","Refused","28/02/2026","Turkiye","97","141","178","90","47","214","1090","1171","629","47"
"long term visa applications","Refused","28/02/2026","Turkmenistan","0","0","*","*","*","*","0","*","*","0"
"long term visa applications","Refused","28/02/2026","Turks and Caicos Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Uganda","*","10","12","*","10","25","41","45","107","*"
"long term visa applications","Refused","28/02/2026","United Kingdom of Great Britain and Northern Ireland (the)","0","0","*","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","United States Minor Outlying Islands (the)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Uzbekistan","*","*","*","6","0","20","14","15","6","11"
"long term visa applications","Refused","28/02/2026","Vanuatu","0","0","0","0","0","0","0","0","*","0"
"long term visa applications","Refused","28/02/2026","Venezuela (Bolivarian Republic of)","34","44","21","12","*","12","24","18","32","*"
"long term visa applications","Refused","28/02/2026","Viet Nam","109","62","54","39","37","118","63","56","57","*"
"long term visa applications","Refused","28/02/2026","Virgin Islands (British)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Virgin Islands (U.S.)","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Wallis and Futuna","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Western Sahara","0","0","0","0","0","0","0","0","0","0"
"long term visa applications","Refused","28/02/2026","Yemen","9","*","9","9","10","*","8","*","13","0"
"long term visa applications","Refused","28/02/2026","Zambia","8","14","8","6","11","6","6","*","11","*"
"long term visa applications","Refused","28/02/2026","Zimbabwe","25","36","33","23","42","54","109","104","345","38"
"long term visa applications","Refused","28/02/2026","*Other","44","43","66","36","35","11","*","*","*","0"
